TimeStamp,HANDSHAKE,HANDSHAKE
19259629.952991,0.21707,0.659465
19270044.085470,0,0.384518
19280458.217949,0.195438,0.579438
19290872.350427,0.872605,0.463072
19301286.482906,0.211706,0.492012
19311700.615385,0.8867,0.565757
19322114.747863,0.155473,0.343817
19332528.880342,0,0.676534
19342943.012821,0.343654,0.358832
19353357.145299,0.629506,0.645802
19363771.277778,0.152187,0.322409
19374185.410256,0.739561,0
19384599.542735,1,0
19395013.675214,0.44678,0.91457
19405427.807692,0.688912,0.045138
19415841.940171,0.299722,0.989269
19426256.072650,0.615505,0.0309011
19436670.205128,0.175242,0.929001
19447084.337607,0.772656,0.0984326
19457498.470085,0.172755,0.847976
19467912.602564,0.688569,0.200018
19478326.735043,0.192958,0.860021
19488740.867521,0.891957,0.189628
19499155.000000,0.102192,1
19509569.132479,0,1
19519983.264957,0,0.686731
19530397.397436,0.988461,0.358615
19540811.529915,0.0876628,1
19551225.662393,0,1
19561639.794872,0.281792,0.526477
19572053.927350,0.724518,0.508871
19582468.059829,0.204732,0.450839
19592882.192308,0.755013,0.595683
19603296.324786,0.361359,0.345728
19613710.457265,0.631018,0.701753
19624124.589744,0.440334,0.254358
19634538.722222,0.544137,0.781585
19644952.854701,0,0.176013
19655366.987179,0,0.865393
19665781.119658,0.433038,0.100306
19676195.252137,0.530703,0.944291
19686609.384615,0.560762,0.0242098
19697023.517094,0.142767,1
19707437.649573,0,1
19717851.782051,0,0.831418
19728265.914530,0.727925,0.212469
19738680.047009,0.0855262,0.74907
19749094.179487,0.811998,0.275028
19759508.311966,1,0.681199
19769922.444444,0.937673,0.355695
19780336.576923,0.0759694,0.605865
19790750.709402,0.875458,0.424512
19801164.841880,0.256755,0.474361
19811578.974359,0.803855,0.578186
19821993.106838,1,0.420097
19832407.239316,0.894331,0.615586
19842821.371795,0,0.330959
19853235.504274,0,0.720478
19863649.636752,0.301757,0.24147
19874063.769231,0.763958,0.78586
19884477.901709,0.342679,0.170302
19894892.034188,0.493613,0.872565
19905306.166667,0.553878,0.147452
19915720.299145,0.443734,0.893878
19926134.431624,0.572216,0.0699671
19936548.564103,1,0
19946962.696581,1,0.0835644
19957376.829060,0.274698,0.86532
19967790.961538,0.956173,0.160016
19978205.094017,0.174654,0.804233
19988619.226496,0.96111,0.244184
19999033.358974,0.107072,0.727501
20009447.491453,0.895535,0.258318
20019861.623932,0,0.696944
20030275.756410,0.853703,0.342493
20040689.888889,0.162363,0.616252
20051104.021368,1,0.422101
20061518.153846,1,0.53312
20071932.286325,0.769327,0.504594
20082346.418803,0.0238202,0.466912
20092760.551282,0.63721,0
20103174.683761,1,0
20113588.816239,1,0.714155
20124002.948718,1,0.2475
20134417.081197,0.501907,0.791243
20144831.213675,0.48974,0.164586
20155245.346154,0.417396,0.881944
20165659.478632,0.5778,0.0859242
20176073.611111,0.426024,0.957529
20186487.743590,0.544207,0
20196901.876068,1,0.953998
20207316.008547,1,0.120299
20217730.141026,0.19929,0.84256
20228144.273504,0.679962,0.200027
20238558.405983,1,0.755729
20248972.538462,1,0.284751
20259386.670940,0.144449,0.681358
20269800.803419,0.98242,0.367112
20280214.935897,0.0169385,0.586158
20290629.068376,0.845938,0.447287
20301043.200855,0.254921,0.514808
20311457.333333,0.806072,0.522902
20321871.465812,0.2429,0.434713
20332285.598291,0.788637,0.598201
20342699.730769,0.238257,0.364671
20353113.863248,0.729604,0.682384
20363527.995726,0.315979,0.279512
20373942.128205,0.658797,0.760874
20384356.260684,0,0.194494
20394770.393162,0,0.857674
20405184.525641,0.627075,0.162402
20415598.658120,0.34021,0.864346
20426012.790598,0.643431,0.0997524
20436426.923077,0.280249,0.940904
20446841.055556,0.791468,0.0147387
20457255.188034,1,0
20467669.320513,0.685748,0.178116
20478083.452991,0.0724661,0.825368
20488497.585470,0.943745,0.239064
20498911.717949,0.0570797,0.726106
20509325.850427,0.861959,0.267656
20519739.982906,0.155332,0.694748
20530154.115385,0,0.331411
20540568.247863,0.165566,0.616151
20550982.380342,0.956015,0.442859
20561396.512821,0.0199971,0.519008
20571810.645299,0,0.51976
20582224.777778,0.333375,0.422119
20592638.910256,0.621855,0.630943
20603053.042735,0.421175,0.359764
20613467.175214,0.678195,0.668464
