stamp,x,y,z,qx,qy,qz,qw,vx,vy,vz
289.643000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
290.112000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
291.305000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
292.535000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
293.046000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
294.038000,-0.000036,-0.000108,0.000430,-0.000180,0.000010,-0.000073,1.000000,0.000000,0.000000,0.000000
294.172000,-0.000265,0.000059,0.000975,-0.000188,0.000033,-0.000099,1.000000,0.000000,0.000000,0.000000
294.329000,0.000224,-0.000147,0.000527,-0.000201,-0.000040,0.000043,1.000000,0.000000,0.000000,0.000000
294.842000,-0.000417,0.000887,-0.000611,0.000438,0.000104,-0.000195,1.000000,0.000000,0.000000,0.000000
295.716000,0.000014,0.000653,0.000660,0.000077,0.000088,0.000168,1.000000,0.000000,0.000000,0.000000
295.938000,0.000031,-0.000191,0.000270,-0.000109,-0.000022,0.000012,1.000000,0.000000,0.000000,0.000000
296.755000,-0.000049,0.000196,0.000368,-0.000032,0.000022,-0.000076,1.000000,0.000000,0.000000,0.000000
297.318000,-0.000431,0.001170,0.001377,0.000139,0.000119,-0.000159,1.000000,0.000000,0.000000,0.000000
297.459000,-0.000107,0.000037,0.000290,-0.000029,0.000077,-0.000032,1.000000,0.000000,0.000000,0.000000
297.556000,0.000025,0.000046,0.000435,-0.000092,0.000025,-0.000019,1.000000,0.000000,0.000000,0.000000
297.861000,-0.000094,-0.000039,0.000638,-0.000103,0.000001,-0.000173,1.000000,0.000000,0.000000,0.000000
298.160000,-0.000053,-0.000021,0.000407,-0.000062,0.000041,-0.000127,1.000000,0.000000,0.000000,0.000000
